;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem
30113,113,48.1,156.8,3.26,0,0,0,0,40.1,0,0,0,0,0,0,0,0,0,0,36.8,3.3,0,0,0,0,80348,0
30114,114,54.8,157.1,2.87,1.5,0.1,1.3,0.2,38.2,0,0,0.1,1.2,0,0,0,0.1,0,0,33,3.7,0,0,0,0,74493,0
30115,115,0,0,0,71.3,47.3,10.7,13.3,71.9,45.6,1.7,7.1,3.7,1.2,3.1,2.2,6.7,0,0,0.5,0,0,0,0,0,80348,0
30116,116,0,0,0,23.2,1,18.6,3.6,23.2,0.6,0.5,17.6,1,0.3,0.8,0.6,1.8,0,0,0,0,0,0,0,0,80348,0
30117,117,23.3,87.9,3.77,27.2,17.6,4.3,5.3,30.8,16.9,0.7,2.8,1.5,0.5,1.3,0.9,2.7,0,0,2.2,1.4,0,0,0,0,80348,0
30118,118,9.2,30.3,3.29,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,8.8,0.7,0,0,0,0,74493,0
30119,119,1,4.9,4.97,35.8,0,0,35.8,35.9,0,0,0,0,0,35.8,0,0,0,0,0,0.1,0,0,0,0,80348,0
30120,120,39.4,107.3,2.72,1.4,1.4,0,0,27.6,1.4,0,0,0,0,0,0,0,0,0,23.6,2.6,0,0,0,0,80348,0
30121,121,42.5,147.9,3.48,5.7,0.3,2,3.4,13.5,0.2,0.1,0.5,1.5,0.1,0.2,0.2,2.9,0,3,2.2,2.6,0,0,0,0,80348,0
30122,122,25.6,86.4,3.37,0,0,0,0,18.7,0,0,0,0,0,0,0,0,0,0,17,1.7,0,0,0,0,74493,0
30123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80348,0
30124,124,78.1,216.4,2.77,2.3,0,0,2.3,12.1,0,0,0,0,0,0,0,2.3,0,0,4.9,4.8,0,0,0,0,80348,0
30125,125,65,199.1,3.07,64.3,0,0,64.3,69.9,0,0,0,0,11.5,52.8,0,0,0,0,1.6,3.9,0,0,0,0,80348,245
30126,126,175.4,468.3,2.67,9,0.3,7.6,1.1,19.6,0.2,0.1,6.1,1.5,0.1,0.2,0.2,0.5,0,0,0,10.6,0,0,0,0,74493,0
30127,127,96,300.9,3.13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2.2,5.8,0,0,0,0,80348,0
30128,128,66.2,244.1,3.69,5.7,0,5.6,0.1,19.2,0,0,0.1,5.5,0,0,0,0.1,0,0,9.3,4.1,0,0,0,0,80348,0
30129,129,25.4,70.4,2.77,0,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,12.1,1.7,0,0,0,0,80348,0
30130,130,66.6,115.7,1.74,1.3,0.1,1.1,0.2,8.1,0,0,1,0.1,0,0,0,0.1,0,0,2.7,4,0,0,0,0,74493,0
30131,131,67.9,213.6,3.14,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,6.6,4.2,0,0,0,0,74493,0
30132,132,37.7,98.1,2.61,4.6,0.3,3.5,0.9,73.9,0.1,0.1,3.2,0.2,0.1,0.2,0.1,0.4,57.6,0,9.3,2.4,0,0,0,0,74493,0
30133,133,147.3,476.8,3.24,11.1,0.6,1.6,9,23.9,0.3,0.3,1,0.5,2.3,0.5,0.3,5.9,0,0,3.8,8.9,0,0,0,0,80348,0
30134,134,4.1,14.5,3.54,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,80348,0
30135,135,2,6.1,3.02,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,80348,0
30136,136,159.6,506.2,3.17,20.4,0.6,7.5,12.4,45.1,0.3,0.3,1.1,6.4,8.4,0.5,0.3,3.1,0,0,14.8,9.8,0,0,0,0,74493,0
30137,137,1,3.1,3.02,30.7,0,30.7,0,30.8,0,0,0,30.7,0,0,0,0,0,0,0,0.1,0,0,0,0,80348,0
30138,138,147.1,582.5,3.96,53.6,0.1,9.3,44.2,68,0.1,0.1,9.2,0.1,25,0.1,0.1,19,0,0,5.5,8.9,0,0,0,0,80348,0
30139,139,53.2,114.9,2.16,20.8,1.2,3.4,16.1,60.6,0.7,0.5,2.3,1.2,0.4,12.9,0.7,2.2,0,15,21.4,3.4,0,0,0,0,74493,0
30140,140,4,4.8,1.21,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,80348,0
30141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80348,0
30142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80348,0
30143,143,57.9,147,2.54,93.3,29.4,53.1,10.8,98.5,28,1.4,5.8,47.4,1,2.6,1.8,5.5,0,0,1.6,3.5,0,0,0,0,80348,0
30144,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80348,0
30145,145,13,43.1,3.32,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,1.6,0.8,0,0,0,0,78516,0
30146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79483,0
30147,147,1.1,2.1,1.96,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,84675,0
30148,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79483,0
30149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79483,0
30150,150,375.3,1190.8,3.17,135.1,22.9,11.4,100.8,201.1,21.3,1.6,6.6,4.8,5.5,49.1,10.8,35.4,0,0,42.8,23.1,0,0,0,0,84445,0
30151,151,18.8,101.6,5.4,36.9,2.3,26.7,7.9,38.5,1.3,1,24.5,2.2,0.7,1.9,1.3,4,0,0,0.5,1.1,0,0,0,0,84675,0
30152,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74493,0
30153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74493,0
