CO_TAZID,SUBAREAID,CO_FIPS,CO_NAME,MedInc
1081,0,1,BEAVER,66860
1082,0,1,BEAVER,66860
1083,0,1,BEAVER,66860
1084,0,1,BEAVER,66860
1085,0,1,BEAVER,66860
1086,0,1,BEAVER,66860
1087,0,1,BEAVER,66860
1088,0,1,BEAVER,66860
1089,0,1,BEAVER,66860
1090,0,1,BEAVER,66860
1091,0,1,BEAVER,66860
1092,0,1,BEAVER,66860
1093,0,1,BEAVER,66860
1094,0,1,BEAVER,66860
1095,0,1,BEAVER,66860
1096,0,1,BEAVER,66860
1097,0,1,BEAVER,54818
1098,0,1,BEAVER,54818
1099,0,1,BEAVER,54818
1100,0,1,BEAVER,54818
1101,0,1,BEAVER,56907
1102,0,1,BEAVER,66860
1103,0,1,BEAVER,54818
1104,0,1,BEAVER,66860
1105,0,1,BEAVER,54818
1106,0,1,BEAVER,57226
1107,0,1,BEAVER,66860
1108,0,1,BEAVER,66860
1109,0,1,BEAVER,66860
1110,0,1,BEAVER,66860
1111,0,1,BEAVER,66860
1112,0,1,BEAVER,66860
1113,0,1,BEAVER,66860
1114,0,1,BEAVER,66860
1115,0,1,BEAVER,66860
1116,0,1,BEAVER,66860
1117,0,1,BEAVER,66860
1118,0,1,BEAVER,66860
1119,0,1,BEAVER,66860
1120,0,1,BEAVER,66860
1121,0,1,BEAVER,66860
3001,0,3,BOX ELDER,64145
3002,0,3,BOX ELDER,64145
3003,0,3,BOX ELDER,64145
3004,0,3,BOX ELDER,64145
3005,0,3,BOX ELDER,64145
3006,0,3,BOX ELDER,64145
3007,0,3,BOX ELDER,64145
3008,0,3,BOX ELDER,64145
3009,0,3,BOX ELDER,64145
3010,0,3,BOX ELDER,64145
3011,0,3,BOX ELDER,64145
3012,0,3,BOX ELDER,64145
3013,0,3,BOX ELDER,64145
3014,0,3,BOX ELDER,64145
3015,0,3,BOX ELDER,64145
3016,0,3,BOX ELDER,64145
3017,0,3,BOX ELDER,64145
3018,0,3,BOX ELDER,64145
3019,0,3,BOX ELDER,64145
3020,0,3,BOX ELDER,64145
3021,0,3,BOX ELDER,64145
3022,0,3,BOX ELDER,64145
3023,0,3,BOX ELDER,64145
3024,0,3,BOX ELDER,64145
3025,0,3,BOX ELDER,64145
3026,0,3,BOX ELDER,64145
3027,0,3,BOX ELDER,64145
3028,0,3,BOX ELDER,64145
3029,0,3,BOX ELDER,64145
3030,0,3,BOX ELDER,64145
3031,0,3,BOX ELDER,64145
3032,0,3,BOX ELDER,64145
3033,0,3,BOX ELDER,64145
3034,0,3,BOX ELDER,64145
3035,0,3,BOX ELDER,64145
3036,0,3,BOX ELDER,64145
3037,0,3,BOX ELDER,64145
3038,0,3,BOX ELDER,64145
3039,0,3,BOX ELDER,64145
3040,0,3,BOX ELDER,87119
3041,0,3,BOX ELDER,87119
3042,0,3,BOX ELDER,87119
3043,0,3,BOX ELDER,87119
3044,0,3,BOX ELDER,87119
3045,0,3,BOX ELDER,87119
3046,0,3,BOX ELDER,87119
3047,0,3,BOX ELDER,87119
3048,0,3,BOX ELDER,87119
3049,0,3,BOX ELDER,87119
3050,0,3,BOX ELDER,87119
3051,0,3,BOX ELDER,87119
3052,0,3,BOX ELDER,87119
3053,0,3,BOX ELDER,87119
3054,0,3,BOX ELDER,87119
3055,0,3,BOX ELDER,64145
3056,0,3,BOX ELDER,87119
3057,0,3,BOX ELDER,87119
3058,0,3,BOX ELDER,87119
3059,0,3,BOX ELDER,87119
3060,0,3,BOX ELDER,87119
3061,0,3,BOX ELDER,87119
3062,0,3,BOX ELDER,87119
3063,0,3,BOX ELDER,87119
3064,0,3,BOX ELDER,64145
3065,0,3,BOX ELDER,77876
3066,0,3,BOX ELDER,77876
3067,0,3,BOX ELDER,77876
3068,0,3,BOX ELDER,77876
3069,0,3,BOX ELDER,66905
3070,0,3,BOX ELDER,64145
3071,0,3,BOX ELDER,77876
3072,0,3,BOX ELDER,77876
3073,0,3,BOX ELDER,77876
3074,0,3,BOX ELDER,77876
3075,0,3,BOX ELDER,77876
3076,0,3,BOX ELDER,77876
3077,0,3,BOX ELDER,77876
3078,0,3,BOX ELDER,67271
3079,0,3,BOX ELDER,61866
3080,0,3,BOX ELDER,61866
3081,0,3,BOX ELDER,55626
3082,0,3,BOX ELDER,55626
3083,0,3,BOX ELDER,55626
3084,0,3,BOX ELDER,55626
3085,0,3,BOX ELDER,55626
3086,0,3,BOX ELDER,55626
3087,0,3,BOX ELDER,55626
3088,0,3,BOX ELDER,55626
3089,0,3,BOX ELDER,55626
3090,0,3,BOX ELDER,64145
3091,0,3,BOX ELDER,61866
3092,0,3,BOX ELDER,77876
3093,0,3,BOX ELDER,77876
3094,0,3,BOX ELDER,77876
3095,0,3,BOX ELDER,77876
3096,0,3,BOX ELDER,77876
3097,0,3,BOX ELDER,64145
3098,0,3,BOX ELDER,61866
3099,0,3,BOX ELDER,64145
3100,0,3,BOX ELDER,77876
3101,0,3,BOX ELDER,77876
3102,0,3,BOX ELDER,77876
3103,0,3,BOX ELDER,77876
3104,0,3,BOX ELDER,77876
3105,0,3,BOX ELDER,66905
3106,0,3,BOX ELDER,77876
3107,0,3,BOX ELDER,64145
3108,0,3,BOX ELDER,55626
3109,0,3,BOX ELDER,52906
3110,0,3,BOX ELDER,55626
3111,0,3,BOX ELDER,55756
3112,0,3,BOX ELDER,55756
3113,0,3,BOX ELDER,63717
3114,0,3,BOX ELDER,52906
3115,0,3,BOX ELDER,52906
3116,0,3,BOX ELDER,52906
3117,0,3,BOX ELDER,52906
3118,0,3,BOX ELDER,35003
3119,0,3,BOX ELDER,53599
3120,0,3,BOX ELDER,53599
3121,0,3,BOX ELDER,53599
3122,0,3,BOX ELDER,46835
3123,0,3,BOX ELDER,46835
3124,0,3,BOX ELDER,57365
3125,0,3,BOX ELDER,49164
3126,0,3,BOX ELDER,53599
3127,0,3,BOX ELDER,53599
3128,0,3,BOX ELDER,53599
3129,0,3,BOX ELDER,63717
3130,0,3,BOX ELDER,46835
3131,0,3,BOX ELDER,57365
3132,0,3,BOX ELDER,63717
3133,0,3,BOX ELDER,76558
3134,0,3,BOX ELDER,46835
3135,0,3,BOX ELDER,64953
3136,0,3,BOX ELDER,63717
3137,0,3,BOX ELDER,63717
3138,0,3,BOX ELDER,63717
3139,0,3,BOX ELDER,63717
3140,0,3,BOX ELDER,63717
3141,0,3,BOX ELDER,63717
3142,0,3,BOX ELDER,63717
3143,0,3,BOX ELDER,63717
3144,0,3,BOX ELDER,64953
3145,0,3,BOX ELDER,63717
3146,0,3,BOX ELDER,63717
3147,0,3,BOX ELDER,63717
3148,0,3,BOX ELDER,63717
3149,0,3,BOX ELDER,76558
3150,0,3,BOX ELDER,76558
3151,0,3,BOX ELDER,63717
3152,0,3,BOX ELDER,63717
3153,0,3,BOX ELDER,63717
3154,0,3,BOX ELDER,63717
3155,0,3,BOX ELDER,63717
3156,0,3,BOX ELDER,63717
3157,0,3,BOX ELDER,63717
3158,0,3,BOX ELDER,63780
3159,0,3,BOX ELDER,63717
3160,0,3,BOX ELDER,63717
3161,0,3,BOX ELDER,63717
3162,0,3,BOX ELDER,63717
3163,0,3,BOX ELDER,53599
3164,0,3,BOX ELDER,53599
3165,0,3,BOX ELDER,53599
3166,0,3,BOX ELDER,53599
3167,0,3,BOX ELDER,53599
3168,0,3,BOX ELDER,53599
3169,0,3,BOX ELDER,53599
3170,0,3,BOX ELDER,53599
3171,0,3,BOX ELDER,76558
3172,0,3,BOX ELDER,76558
3173,0,3,BOX ELDER,53599
3174,0,3,BOX ELDER,76558
3175,0,3,BOX ELDER,76558
