;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1570,350665,433.3333333,1698.74935,3.920190808,793.5,196.8333333,0,596.6666667,868.7262822,131.6666667,65.16666667,0,0,1,24.5,10.83333333,560.3333333,0,0,43.22000594,32.00627627,77608,574,0,0,35,SALT LAKE
1571,350666,749.6666667,2397.999604,3.198754473,140.6666667,4.833333333,27.66666667,108.1666667,225.1906748,3.333333333,1.5,0,27.66666667,3.5,45.5,1.833333333,57.33333333,0,0,29.17981797,55.34419012,74875,0,0,0,35,SALT LAKE
1572,350667,453.5,1459.87287,3.219124299,0,0,0,0,48.03674796,0,0,0,0,0,0,0,0,0,0,14.86358087,33.17316709,64459,0,0,0,35,SALT LAKE
1573,350668,273.1666667,846.1409787,3.097526463,3305.5,119.8333333,0.5,3185.166667,3467.140999,62.83333333,57,0.333333333,0.166666667,197.6666667,1346,242.5,1399,2.009088274,0,139.6280128,20.0038983,58856,0,0,0,35,SALT LAKE
1574,350669,269.8333333,789.0902214,2.924361537,0,0,0,0,28.85155095,0,0,0,0,0,0,0,0,0,0,8.847652653,20.0038983,65114,0,0,0,35,SALT LAKE
1575,350670,377.8333333,1117.534018,2.957743321,951.1666667,171.8333333,55,724.3333333,1023.675789,134.8333333,37,0,55,29.16666667,90.83333333,80.66666667,523.6666667,0,0,44.67034626,27.83877634,69166,447,0,0,35,SALT LAKE
1576,350671,501.8333333,1377.142327,2.744222504,396.8333333,113.6666667,3,280.1666667,463.2903289,73,40.66666667,0,3,2.166666667,73.33333333,3.166666667,201.5,0,0,29.44978371,37.00721185,56691,430,0,0,35,SALT LAKE
1577,350672,1273,2538.709462,1.994272948,5031.333333,565.8333333,794,3671.5,5342.322955,561.3333333,4.5,628,166,2774.166667,90.16666667,15.5,791.6666667,0,0,217.1379765,93.8516456,41323,0,0,0,35,SALT LAKE
1578,350673,603.1666667,1200.356309,1.990090593,6.5,0,0,6.5,71.37154738,0,0,0,0,0,0.166666667,0,6.333333333,0,0,20.02947211,44.84207527,41142,0,0,0,35,SALT LAKE
1579,350674,311.6666667,921.4774951,2.956612284,0,0,0,0,34.22196835,0,0,0,0,0,0,0,0,0,0,11.21748531,23.00448304,65114,0,0,0,35,SALT LAKE
1580,350675,163.6666667,516.4914923,3.155752499,2026.666667,71.66666667,73.5,1881.5,2110.355029,40.83333333,30.83333333,0.333333333,73.16666667,1.166666667,1837,14,29.33333333,0,0,71.68602335,12.00233898,60975,0,0,0,35,SALT LAKE
1581,350676,760,2161.613223,2.844227925,219.8333333,103,1.166666667,115.6666667,308.4763415,27.16666667,75.83333333,0,1.166666667,6.5,81.83333333,2,25.33333333,0,0,32.63209291,56.01091524,73963,0,1218,0,35,SALT LAKE
1582,350677,1312.666667,3083.149214,2.348767811,205,13,8.166666667,183.8333333,459.5396824,2.666666667,10.33333333,1.166666667,7,100.5,40.83333333,4.833333333,37.66666667,0,0,158.3543136,96.18536879,35964,0,0,0,35,SALT LAKE
1583,350678,268.6666667,819.9173199,3.051801439,265.5,94.16666667,0.166666667,171.1666667,304.5077088,20,74.16666667,0,0.166666667,0.166666667,0.166666667,139.6666667,31.16666667,0,0,19.00381053,20.0038983,78846,0,0,0,35,SALT LAKE
1584,350679,219.5,688.8575406,3.138303146,0,0,0,0,23.19204593,0,0,0,0,0,0,0,0,0,0,7.188927286,16.00311864,79994,0,0,0,35,SALT LAKE
1585,350680,745,2391.859122,3.210549158,48.33333333,1.5,0,46.83333333,133.5449975,1.5,0,0,0,1.166666667,20.16666667,1.333333333,24.16666667,0,0,30.53431614,54.67734801,77028,520,0,0,35,SALT LAKE
1586,350681,288.1666667,833.8412806,2.893607683,269.3333333,19.66666667,11.33333333,238.3333333,310.9454375,18.5,1.166666667,3,8.333333333,4.5,2.666666667,74.16666667,157,0,0,20.60801094,21.00409321,83761,0,0,0,35,SALT LAKE
